datetime,open,high,low,close,volume,candle_color
2026-06-03 13:30:00+05:30,264.9,264.99,264.76,264.83,8887.0,RED
2026-06-03 13:45:00+05:30,264.91,265.75,264.76,265.01,6450.0,GREEN
2026-06-03 14:00:00+05:30,265.3,265.75,265.08,265.59,11167.0,GREEN
2026-06-03 14:15:00+05:30,265.64,266.0,265.38,265.74,3092.0,GREEN
2026-06-03 14:30:00+05:30,265.74,266.0,265.51,266.0,13993.0,GREEN
2026-06-03 14:45:00+05:30,266.0,266.18,265.79,266.0,16695.0,DOJI
2026-06-03 15:00:00+05:30,266.13,266.17,265.27,265.27,25652.0,RED
2026-06-03 15:15:00+05:30,265.55,265.64,265.0,265.43,18821.0,RED
2026-06-04 09:15:00+05:30,265.0,265.36,263.0,264.82,35406.0,RED
2026-06-04 09:30:00+05:30,264.8,265.0,264.63,264.98,22903.0,GREEN
2026-06-04 09:45:00+05:30,264.99,265.91,264.81,265.74,9692.0,GREEN
2026-06-04 10:00:00+05:30,265.74,265.75,265.25,265.63,9945.0,RED
2026-06-04 10:15:00+05:30,265.66,265.82,265.4,265.57,3881.0,RED
2026-06-04 10:30:00+05:30,265.58,265.59,265.0,265.34,6138.0,RED
2026-06-04 10:45:00+05:30,265.34,265.77,265.23,265.42,4067.0,GREEN
2026-06-04 11:00:00+05:30,265.69,265.71,265.0,265.44,2611.0,RED
2026-06-04 11:15:00+05:30,265.29,265.39,265.04,265.22,2060.0,RED
2026-06-04 11:30:00+05:30,265.22,265.94,264.84,265.62,13839.0,GREEN
2026-06-04 11:45:00+05:30,265.62,265.91,265.18,265.41,6192.0,RED
2026-06-04 12:00:00+05:30,265.58,265.9,265.4,265.9,2788.0,GREEN
2026-06-04 12:15:00+05:30,265.68,265.89,265.5,265.55,2903.0,RED
2026-06-04 12:30:00+05:30,265.71,265.71,265.09,265.09,11675.0,RED
2026-06-04 12:45:00+05:30,265.09,265.47,265.02,265.46,3440.0,GREEN
2026-06-04 13:00:00+05:30,265.48,265.49,264.63,264.63,7073.0,RED
2026-06-04 13:15:00+05:30,264.65,264.95,264.37,264.88,18575.0,GREEN
2026-06-04 13:30:00+05:30,264.88,264.92,264.53,264.77,12479.0,RED
2026-06-04 13:45:00+05:30,264.84,264.98,264.55,264.83,4084.0,RED
2026-06-04 14:00:00+05:30,264.83,265.5,264.83,265.28,58136.0,GREEN
2026-06-04 14:15:00+05:30,265.28,265.49,265.24,265.4,5298.0,GREEN
2026-06-04 14:30:00+05:30,265.48,265.88,265.4,265.53,9633.0,GREEN
2026-06-04 14:45:00+05:30,265.53,265.88,265.3,265.54,7516.0,GREEN
2026-06-04 15:00:00+05:30,265.55,265.55,265.2,265.54,6403.0,RED
2026-06-04 15:15:00+05:30,265.54,266.0,265.44,265.8,19554.0,GREEN
2026-06-05 09:15:00+05:30,265.62,269.3,264.05,266.08,33490.0,GREEN
2026-06-05 09:30:00+05:30,266.08,266.49,266.01,266.45,16330.0,GREEN
2026-06-05 09:45:00+05:30,266.44,266.44,265.7,266.09,18431.0,RED
2026-06-05 10:00:00+05:30,266.09,266.79,265.67,266.31,11653.0,GREEN
2026-06-05 10:15:00+05:30,266.31,266.59,266.3,266.5,19990.0,GREEN
2026-06-05 10:30:00+05:30,266.5,266.59,265.04,265.3,14920.0,RED
2026-06-05 10:45:00+05:30,265.12,265.7,264.89,265.69,13829.0,GREEN
2026-06-05 11:00:00+05:30,265.69,266.58,265.49,266.33,15899.0,GREEN
2026-06-05 11:15:00+05:30,266.12,266.33,265.59,265.94,14148.0,RED
2026-06-05 11:30:00+05:30,265.94,266.19,265.77,265.99,4270.0,GREEN
2026-06-05 11:45:00+05:30,265.9,266.0,265.59,265.59,5602.0,RED
2026-06-05 12:00:00+05:30,265.63,265.99,265.55,265.99,2300.0,GREEN
2026-06-05 12:15:00+05:30,265.93,266.22,265.93,266.1,4560.0,GREEN
2026-06-05 12:30:00+05:30,266.07,266.07,265.21,265.34,3955.0,RED
2026-06-05 12:45:00+05:30,265.22,265.49,265.05,265.4,2368.0,GREEN
2026-06-05 13:00:00+05:30,265.37,265.5,265.0,265.05,9381.0,RED
2026-06-05 13:15:00+05:30,265.05,265.31,264.76,264.89,5760.0,RED
2026-06-05 13:30:00+05:30,264.78,264.82,264.39,264.61,5600.0,RED
2026-06-05 13:45:00+05:30,264.62,264.73,264.39,264.7,6172.0,GREEN
2026-06-05 14:00:00+05:30,264.7,265.0,264.6,264.8,2286.0,GREEN
2026-06-05 14:15:00+05:30,264.8,265.22,264.57,265.2,14611.0,GREEN
2026-06-05 14:30:00+05:30,265.2,265.78,264.75,265.78,16624.0,GREEN
2026-06-05 14:45:00+05:30,265.97,265.97,265.14,265.33,5891.0,RED
2026-06-05 15:00:00+05:30,265.33,265.49,265.0,265.41,6034.0,GREEN
